Categoria,Rama,Anio,Demanda,Precio_gas_natural,Precio_combustoleo,PIB,Factores_eficiencia
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2007,65.2,6.4,9.7,40,10.72
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2008,69.9,8.5,13,41,10.19
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2009,62.9,3.8,10.4,40,10.4
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2010,63.8,4.5,13.4,42,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2011,63.6,4.3,17.9,42,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2012,76.8,3.2,18.3,44,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2013,83.8,4.5,16.9,45,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2014,81.4,5.3,16.9,46,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2015,90.1,5,17.4,47,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2016,90.7,5.3,17.2,49,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2017,93.4,5.8,17.1,50,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2018,94.5,6.4,16.8,51,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2019,94.4,6.6,16.6,52,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2020,94.4,6.7,16.4,53,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2021,94.1,6.7,16.6,53,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2022,93.7,6.7,17,54,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2023,93,6.8,17.3,55,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2024,92,7,17.6,56,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2025,90.9,7.2,17.8,57,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2026,89.9,7.3,18,58,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2027,88.7,7.4,17.9,58,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2028,87.3,7.6,17.9,59,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2029,85.8,7.7,17.9,60,
"Fabricación de pulpa, papel y cartón",Celulosa y papel,2030,84.2,7.7,17.9,61,
Productos a base de minerales no metálicos,Cemento y vidrio,2005,108,7.1,6.8,109,
Productos a base de minerales no metálicos,Cemento y vidrio,2006,123.8,6.5,8.7,116,
Productos a base de minerales no metálicos,Cemento y vidrio,2007,121.8,6.4,9.7,118,
Productos a base de minerales no metálicos,Cemento y vidrio,2008,125.3,8.5,13,114,
Productos a base de minerales no metálicos,Cemento y vidrio,2009,115.6,3.8,10.4,103,
Productos a base de minerales no metálicos,Cemento y vidrio,2010,114.6,4.5,13.4,108,
Productos a base de minerales no metálicos,Cemento y vidrio,2011,121.1,4.3,17.9,111,
Productos a base de minerales no metálicos,Cemento y vidrio,2012,137.8,3.2,18.3,114,
Productos a base de minerales no metálicos,Cemento y vidrio,2013,135.9,4.5,16.9,111,
Productos a base de minerales no metálicos,Cemento y vidrio,2014,149.4,5.3,16.9,114,
Productos a base de minerales no metálicos,Cemento y vidrio,2015,145.7,5,17.4,120,
Productos a base de minerales no metálicos,Cemento y vidrio,2016,147.7,5.3,17.2,123,
Productos a base de minerales no metálicos,Cemento y vidrio,2017,150.4,5.8,17.1,126,
Productos a base de minerales no metálicos,Cemento y vidrio,2018,157.4,6.4,16.8,131,
Productos a base de minerales no metálicos,Cemento y vidrio,2019,158.8,6.6,16.6,135,
Productos a base de minerales no metálicos,Cemento y vidrio,2020,160.3,6.7,16.4,139,
Productos a base de minerales no metálicos,Cemento y vidrio,2021,161.5,6.7,16.6,143,
Productos a base de minerales no metálicos,Cemento y vidrio,2022,162.6,6.7,17,148,
Productos a base de minerales no metálicos,Cemento y vidrio,2023,163.4,6.8,17.3,152,
Productos a base de minerales no metálicos,Cemento y vidrio,2024,163.2,7,17.6,156,
Productos a base de minerales no metálicos,Cemento y vidrio,2025,163.1,7.2,17.8,161,
Productos a base de minerales no metálicos,Cemento y vidrio,2026,163.2,7.3,18,165,
Productos a base de minerales no metálicos,Cemento y vidrio,2027,163,7.4,17.9,170,
Productos a base de minerales no metálicos,Cemento y vidrio,2028,162.3,7.6,17.9,175,
Productos a base de minerales no metálicos,Cemento y vidrio,2029,161.3,7.7,17.9,180,
Productos a base de minerales no metálicos,Cemento y vidrio,2030,160.3,7.7,17.9,184,
Cerveza y malta,Cerveza y malta,2005,15.3,7.1,6.8,93,
Cerveza y malta,Cerveza y malta,2006,18.9,6.5,8.7,99,
Cerveza y malta,Cerveza y malta,2007,16.6,6.4,9.7,101,
Cerveza y malta,Cerveza y malta,2008,17.7,8.5,13,104,
Cerveza y malta,Cerveza y malta,2009,15.8,3.8,10.4,104,
Cerveza y malta,Cerveza y malta,2010,16.2,4.5,13.4,105,
Cerveza y malta,Cerveza y malta,2011,18.6,4.3,17.9,109,
Cerveza y malta,Cerveza y malta,2012,22,3.2,18.3,112,
Cerveza y malta,Cerveza y malta,2013,39.1,4.5,16.9,112,
Cerveza y malta,Cerveza y malta,2014,34.9,5.3,16.9,115,
Cerveza y malta,Cerveza y malta,2015,38.3,5,17.4,122,
Cerveza y malta,Cerveza y malta,2016,38.1,5.3,17.2,129,
Cerveza y malta,Cerveza y malta,2017,40.7,5.8,17.1,133,
Cerveza y malta,Cerveza y malta,2018,41.1,6.4,16.8,137,
Cerveza y malta,Cerveza y malta,2019,41.3,6.6,16.6,142,
Cerveza y malta,Cerveza y malta,2020,41.6,6.7,16.4,146,
Cerveza y malta,Cerveza y malta,2021,41.6,6.7,16.6,150,
Cerveza y malta,Cerveza y malta,2022,41.7,6.7,17,154,
Cerveza y malta,Cerveza y malta,2023,41.6,6.8,17.3,158,
Cerveza y malta,Cerveza y malta,2024,41.3,7,17.6,162,
Cerveza y malta,Cerveza y malta,2025,41,7.2,17.8,167,
Cerveza y malta,Cerveza y malta,2026,40.6,7.3,18,171,
Cerveza y malta,Cerveza y malta,2027,40.2,7.4,17.9,176,
Cerveza y malta,Cerveza y malta,2028,39.7,7.6,17.9,181,
Cerveza y malta,Cerveza y malta,2029,39.1,7.7,17.9,186,
Cerveza y malta,Cerveza y malta,2030,38.5,7.7,17.9,190,
Metales básicos,Metales básicos,2005,279.5,7.1,6.8,151,12.76
Metales básicos,Metales básicos,2006,293.6,6.5,8.7,154,12.68
Metales básicos,Metales básicos,2007,305.6,6.4,9.7,148,13.54
Metales básicos,Metales básicos,2008,299.3,8.5,13,147,14.49
Metales básicos,Metales básicos,2009,223.4,3.8,10.4,123,14.93
Metales básicos,Metales básicos,2010,287.5,4.5,13.4,138,
Metales básicos,Metales básicos,2011,301.4,4.3,17.9,143,
Metales básicos,Metales básicos,2012,299.2,3.2,18.3,149,
Metales básicos,Metales básicos,2013,326.1,4.5,16.9,152,
Metales básicos,Metales básicos,2014,340.4,5.3,16.9,165,
Metales básicos,Metales básicos,2015,347.4,5,17.4,159,
Metales básicos,Metales básicos,2016,343.3,5.3,17.2,157,
Metales básicos,Metales básicos,2017,344.7,5.8,17.1,160,
Metales básicos,Metales básicos,2018,346.7,6.4,16.8,165,
Metales básicos,Metales básicos,2019,348.1,6.6,16.6,171,
Metales básicos,Metales básicos,2020,349.6,6.7,16.4,176,
Metales básicos,Metales básicos,2021,350.9,6.7,16.6,181,
Metales básicos,Metales básicos,2022,352.2,6.7,17,186,
Metales básicos,Metales básicos,2023,353.3,6.8,17.3,191,
Metales básicos,Metales básicos,2024,354,7,17.6,196,
Metales básicos,Metales básicos,2025,355,7.2,17.8,201,
Metales básicos,Metales básicos,2026,355.8,7.3,18,206,
Metales básicos,Metales básicos,2027,356.6,7.4,17.9,212,
Metales básicos,Metales básicos,2028,357.3,7.6,17.9,218,
Metales básicos,Metales básicos,2029,357.9,7.7,17.9,223,
Metales básicos,Metales básicos,2030,358.3,7.7,17.9,229,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2005,127.2,7.1,6.8,438,0.99
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2006,130.7,6.5,8.7,480,0.97
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2007,133.6,6.4,9.7,488,1.06
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2008,126.6,8.5,13,478,1.1
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2009,112.6,3.8,10.4,381,0.99
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2010,132,4.5,13.4,495,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2011,146.2,4.3,17.9,547,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2012,153.2,3.2,18.3,605,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2013,147.1,4.5,16.9,628,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2014,152.4,5.3,16.9,692,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2015,151.8,5,17.4,732,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2016,155.5,5.3,17.2,748,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2017,168.9,5.8,17.1,771,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2018,180,6.4,16.8,805,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2019,183.2,6.6,16.6,843,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2020,186.5,6.7,16.4,882,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2021,189.5,6.7,16.6,921,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2022,192,6.7,17,963,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2023,192.6,6.8,17.3,1004,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2024,192.9,7,17.6,1043,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2025,193.9,7.2,17.8,1087,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2026,194.5,7.3,18,1134,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2027,195.7,7.4,17.9,1183,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2028,195.3,7.6,17.9,1233,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2029,194,7.7,17.9,1284,
"Productos metálicos, equipo eléctrico y de transporte","Minería y Productos metálicos, equipo eléctrico y de transporte",2030,192.4,7.7,17.9,1333,
Productos de minerales no metálicos,Productos de minerales no metálicos,2005,63.9,7.1,6.8,109,11.85
Productos de minerales no metálicos,Productos de minerales no metálicos,2006,68.3,6.5,8.7,116,12.89
Productos de minerales no metálicos,Productos de minerales no metálicos,2007,69.4,6.4,9.7,118,13.75
Productos de minerales no metálicos,Productos de minerales no metálicos,2008,66.2,8.5,13,114,12.62
Productos de minerales no metálicos,Productos de minerales no metálicos,2009,58.2,3.8,10.4,103,13.21
Productos de minerales no metálicos,Productos de minerales no metálicos,2010,74.2,4.5,13.4,108,
Productos de minerales no metálicos,Productos de minerales no metálicos,2011,80.9,4.3,17.9,111,
Productos de minerales no metálicos,Productos de minerales no metálicos,2012,82.6,3.2,18.3,114,
Productos de minerales no metálicos,Productos de minerales no metálicos,2013,83.1,4.5,16.9,111,
Productos de minerales no metálicos,Productos de minerales no metálicos,2014,80.1,5.3,16.9,114,
Productos de minerales no metálicos,Productos de minerales no metálicos,2015,86.6,5,17.4,120,
Productos de minerales no metálicos,Productos de minerales no metálicos,2016,92.2,5.3,17.2,123,
